"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Lieferrückstände","Stückpreis","Gesamtpreis"
"1","8","2223-DS04-254-2-12BK-SMT-ND","DS04-254-2-12BK-SMT","DIP SWITCH, SPST, 2.54 PITCH, FL","","0","1,31000","10,48 €"
"2","10","839-54-00164CT-ND","54-00164","CONN JACK R/A SMT 5.5X2.1MM","","0","0,58800","5,88 €"
"3","10","1175-1627-ND","3220-10-0100-00","CONN HEADER VERT 10POS 1.27MM","","0","0,51300","5,13 €"
"4","200","160-1794-1-ND","6N137S-TA1","OPTOISO 5KV 1CH OPEN COLL 8SMD","","0","0,33060","66,12 €"
"5","10","MAX485CSA+TCT-ND","MAX485CSA+T","IC TRANSCEIVER HALF 1/1 8SOIC","","0","3,24200","32,42 €"
"","","","","","","","Zwischensumme","120,03 €"
